Country,adaptation_doc,name,subsector_name,title
Afghanistan,First Nationally Determined Contribution (NDC),Agriculture,Food security,"""Improving access by rural communities and farmers to water to support food security, reduce poverty and improve agricultural productions"" (4)"
Afghanistan,First Nationally Determined Contribution (NDC),Agriculture,Irrigation,"NAP: ""Increasing irrigated agricultural land to 3.14 M-ha, through restoration and development of Afghanistan’s irrigation systems."" (6)"
Afghanistan,First Nationally Determined Contribution (NDC),Cross-Cutting Area,Capacity building and knowledge transfer,"""Integrating climate change consideration into the national planning processes"" (4)"
Afghanistan,First Nationally Determined Contribution (NDC),Cross-Cutting Area,Capacity building and knowledge transfer,"""Improvement of technical capacity in governmental institutions"" (4)"
Afghanistan,First Nationally Determined Contribution (NDC),Cross-Cutting Area,Capacity building and knowledge transfer,"NAP: ""Development and adoption of the Afghanistan CCSAP."" (5)"
Afghanistan,First Nationally Determined Contribution (NDC),Cross-Cutting Area,Capacity building and knowledge transfer,"NAP: ""Identification and mainstreaming of climate change adaptation technologies into the sectoral policies, strategies and development plans, and promotion of regional and international cooperation and coordination for adaptation technology transfer"" (5)"
Afghanistan,First Nationally Determined Contribution (NDC),Cross-Cutting Area,Climate services,"NAP: ""Development of a system to monitor and assess vulnerability and adaptation to climate change"" (5)"
Afghanistan,First Nationally Determined Contribution (NDC),Cross-Cutting Area,Climate services,"NAP: ""Strengthen and expand meteorological and hydrological monitoring networks and services, including a national database to archive and store meteorological and hydrological data. "" (5)"
Afghanistan,First Nationally Determined Contribution (NDC),Cross-Cutting Area,Landscape management,"""Adaptive and integrated land and water management "" (4)"
Afghanistan,First Nationally Determined Contribution (NDC),Disaster Risk Management (DRM),Disaster Risk Management (DRM): General,"""Reducing vulnerability of the country and its population through enhancement of adaptive capacity and resilience, and deployment of disaster risk reduction approaches "" (4)"
Afghanistan,First Nationally Determined Contribution (NDC),Economy-wide,Economy-wide: General,"""Raising awareness for people of Afghanistan on climate change impacts and adaptation measures "" (4)"
Afghanistan,First Nationally Determined Contribution (NDC),Energy,Renewable energy,"NAP: ""Behavioural change and opportunities for provision and development of alternative and renewable energy sources for 25% of the rural population above existing levels (15%), in order to contribute to a reduction in the unsustainable usage of natural resources and decreasing the strong reliance on fossil fuels by rural communities."" (6)"
Afghanistan,First Nationally Determined Contribution (NDC),Environment,Ecosystem and biodiversity,"NAP: ""At least 10% of Afghanistan land area and the habitat of selected species under a system of conservation"" (6)"
Afghanistan,First Nationally Determined Contribution (NDC),LULUCF/Forestry,Land degradation,"NAP: ""Regeneration of at least 40% of existing degraded forests and rangeland areas (the area covered will be approximately 232,050 ha for forestry; and 5.35 million ha for rangelands). "" (6)"
Afghanistan,First Nationally Determined Contribution (NDC),Social Development,Poverty reduction,"""Improving access by rural communities and farmers to water to support food security, reduce poverty and improve agricultural productions"" (4)"
Afghanistan,First Nationally Determined Contribution (NDC),Social Development,Social Development: General,"""Promoting economic development and sustainable rural livelihoods through sustainable management of environmental resources and increase access to modern forms of efficient and sustainable energy services"" (4)"
Afghanistan,First Nationally Determined Contribution (NDC),Social Development,Social Development: General,"NAP: ""Behavioural change and opportunities for provision and development of alternative and renewable energy sources for 25% of the rural population above existing levels (15%), in order to contribute to a reduction in the unsustainable usage of natural resources and decreasing the strong reliance on fossil fuels by rural communities."" (6)"
Afghanistan,First Nationally Determined Contribution (NDC),Water,Water infrastructure,"NAP: ""Development of water resources through rehabilitation and reconstruction of small-, medium-, and large-scale infrastructure"" (5-6)"
Afghanistan,First Nationally Determined Contribution (NDC),Water,Water management,"""Adaptive and integrated land and water management "" (4)"
Afghanistan,First Nationally Determined Contribution (NDC),Water,Water management,"NAP: ""Planning for proper watershed management and promoted through community-based natural resources management."" (6)"
Afghanistan,First Nationally Determined Contribution (NDC),Water,Water: General,"""Improving access by rural communities and farmers to water to support food security, reduce poverty and improve agricultural productions"" (4)"
Afghanistan,Intended Nationally Determined Contribution (INDC),Agriculture,Irrigation,"Increasing irrigated agricultural land to 3.14 M-ha, through restoration and development of Afghanistan‘s irrigation systems"
Afghanistan,Intended Nationally Determined Contribution (INDC),Cross-Cutting Area,Capacity building and knowledge transfer,"Identification and mainstreaming of climate change adaptation technologies into the sectoral policies, strategies and development plans, and promotion of regional and international cooperation and coordination for adaptation technology transfer;|NAP priority: Integrating climate change consideration into the national planning processes;|Improvement of technical capacity in governmental institutions;|Raising awareness for people of Afghanistan on climate change impacts and adaptation measures."
Afghanistan,Intended Nationally Determined Contribution (INDC),Cross-Cutting Area,Capacity building and knowledge transfer,Development and adoption of National Climate Change Strategy and Action Plan (CCSAP)
Afghanistan,Intended Nationally Determined Contribution (INDC),Cross-Cutting Area,Climate risk management,"Development of a system to monitor and assess vulnerability and adaptation to climate change; |Reducing vulnerability of the country and its population through enhancement of adaptive capacity and resilience, and deployment of disaster risk reduction approaches"
Afghanistan,Intended Nationally Determined Contribution (INDC),Cross-Cutting Area,Climate services,"Strengthen and expand meteorological and hydrological monitoring networks and services, including a national database to archive and store meteorological and hydrological data"
Afghanistan,Intended Nationally Determined Contribution (INDC),Energy,Renewable energy,"Behavioural change and opportunities for provision and development of alternative and renewable energy sources for 25% of the rural population above existing levels (15%), in order to contribute to a reduction in the unsustainable usage of natural resources and decreasing the strong reliance on fossil fuels by rural communities"
Afghanistan,Intended Nationally Determined Contribution (INDC),Environment,Ecosystem and biodiversity,At least 10% of Afghanistan land area and the habitat of selected species under a system of conservation
Afghanistan,Intended Nationally Determined Contribution (INDC),Environment,Watershed and river basin management,Planning for proper watershed management and promoted through community-based natural resources management
Afghanistan,Intended Nationally Determined Contribution (INDC),LULUCF/Forestry,Land degradation,"Regeneration of at least 40% of existing degraded forests and rangeland areas (the area covered will be approximately 232,050 ha for forestry; and 5.35 million ha for rangelands)"
Afghanistan,Intended Nationally Determined Contribution (INDC),LULUCF/Forestry,Sustainable land management,Adaptive and integrated land management
Afghanistan,Intended Nationally Determined Contribution (INDC),Social Development,Poverty reduction,NAP Priority: Promoting economic development and sustainable rural livelihoods through sustainable management of environmental resources and increase access to modern forms of efficient and sustainable energy services
Afghanistan,Intended Nationally Determined Contribution (INDC),Social Development,Poverty reduction,"Mahatma Gandhi National Rural Employment Guarantee Scheme in India (MGNREGS) to strengthen natural resource base of the rural economy and are linked to land, soil, and water|National Rural Livelihoods Mission"
Afghanistan,Intended Nationally Determined Contribution (INDC),Social Development,Poverty reduction,"To cover 70 million rural poor households, across 600,000 villages in the country through self-managed self help groups and federated institutions to support the rural communities in strengthening their livelihood"
